"full_name","province_or_state","district_id","gender","career","type","election_date","year","exit_year","party_id","legislature_id","Lstart_date","Lend_date","other_names","country_id","institution_id"
"daniel bouchard","QC","meganticcompton","m","business","election",2003-04-14,2003,"2007","PLQ",37,2003-04-14,2007-02-21,NA,"CAN","QCASSNAT"
"lucien bouchard","QC","jonquiere","m","law","byelection",1994-09-12,1994,"2001","PQ",35,1994-09-12,1998-11-25,"bouchard","CAN","QCASSNAT"
"lucien bouchard","QC","jonquiere","m","law","election",1998-11-30,1998,"2001","PQ",36,1998-11-30,2003-02-12,"bouchard","CAN","QCASSNAT"
"claude boucher","QC","johnson","m","business","election",1994-09-12,1994,"2007","PQ",35,1994-09-12,1998-11-25,"boucher","CAN","QCASSNAT"
"claude boucher","QC","johnson","m","business","election",1998-11-30,1998,"2007","PQ",36,1998-11-30,2003-02-12,"boucher","CAN","QCASSNAT"
"claude boucher","QC","johnson","m","business","election",2003-04-14,2003,"2007","PQ",37,2003-04-14,2007-02-21,"boucher","CAN","QCASSNAT"
"etiennealexis boucher","QC","johnson","m","politics","election",2008-12-08,2008,"2012","PQ",39,2008-12-08,2012-08-01,"boucher","CAN","QCASSNAT"
"jean boucher","QC","ungava","m","law","election",2014-04-07,2014,"2018","PLQ",41,2014-04-07,2018-08-23,"boucher","CAN","QCASSNAT"
"marie bouille","QC","iberville","f","business","election",2008-12-08,2008,"2014","PQ",39,2008-12-08,2012-08-01,"bouille","CAN","QCASSNAT"
"marie bouille","QC","iberville","f","business","election",2012-09-04,2012,"2014","PQ",40,2012-09-04,2014-03-05,"bouille","CAN","QCASSNAT"
"andre boulerice","QC","saintemariesaintjacques","m","education","election",1994-09-12,1994,"2005","PQ",35,1994-09-12,1998-11-25,"boulerice","CAN","QCASSNAT"
"andre boulerice","QC","saintemariesaintjacques","m","education","election",1998-11-30,1998,"2005","PQ",36,1998-11-30,2003-02-12,"boulerice","CAN","QCASSNAT"
"andre boulerice","QC","saintemariesaintjacques","m","education","election",2003-04-14,2003,"2005","PQ",37,2003-04-14,2007-02-21,"boulerice","CAN","QCASSNAT"
"jean boulet","QC","troisrivieres","m","law","election",2018-10-01,2018,"NA","CAQ",42,2018-10-01,2022-08-28,"boulet","CAN","QCASSNAT"
"jean boulet","QC","troisrivieres","m","law","election",2022-10-03,2022,"NA","CAQ",43,NA,NA,"boulet ;  m. boulet ; m.boulet","CAN","QCASSNAT"
"julie boulet","QC","laviolette","f","pharmacy","byelection",1998-11-30,1998,"2018","PLQ",36,1998-11-30,2003-02-12,"boulet","CAN","QCASSNAT"
"julie boulet","QC","laviolette","f","pharmacy","election",2003-04-14,2003,"2018","PLQ",37,2003-04-14,2007-02-21,"boulet","CAN","QCASSNAT"
